sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"MTORC1","Unmatched","","","",""
"Proteasome","Unmatched","","","",""
"Microtubulestabiliser","Unmatched","","","",""
"RAF","Unmatched","","","",""
"others","Unmatched","","","",""
"gamma-secretase","Unmatched","","","",""
"Ephrins","Unmatched","","","",""
"BCR-ABL","Unmatched","","","",""
"IR","Unmatched","","","",""
"IKK","Unmatched","","","",""
"PI3Kbeta","Unmatched","","","",""
"Anthracycline","Unmatched","","","",""
"Pyrimidineantimetabolite","Unmatched","","","",""
"DNAcrosslinker","Unmatched","","","",""
"Microtubuledestabiliser","Unmatched","","","",""
"PPK","Unmatched","","","",""
"HIF-PH","Unmatched","","","",""
"notdefined","Unmatched","","","",""
"PPARdelta","Unmatched","","","",""
"Procaspase-3","Unmatched","","","",""
"Procaspase-7","Unmatched","","","",""
"SERCA","Unmatched","","","",""
"dsDNAbreakinduction","Unmatched","","","",""
"Biguanideagent","Unmatched","","","",""
"Amyloidbeta20","Unmatched","","","",""
"Amyloidbeta40","Unmatched","","","",""
"KSP","Unmatched","","","",""
"p38alpha","Unmatched","","","",""
"PI3Kgamma","Unmatched","","","",""
"RSK","Unmatched","","","",""
"PI3Kdelta","Unmatched","","","",""
"G9aandGLPmethyltransferases","Unmatched","","","",""
"Autophagyinducer","Unmatched","","","",""
"HDAC1-10","Unmatched","","","",""
"MTORC2","Unmatched","","","",""
"Angiopoietin-1receptor","Unmatched","","","",""
"RNAPolymerase1","Unmatched","","","",""
"PI3Kalpha","Unmatched","","","",""
"VEGFR3/FLT4","Unmatched","","","",""
"ROCK","Unmatched","","","",""
"LXR","Unmatched","","","",""
"SIRT","Unmatched","","","",""
"GSK3","Unmatched","","","",""
"FGFR","Unmatched","","","",""
"SphingosineKinase","Unmatched","","","",""
"BCL-2selective","Unmatched","","","",""
"Metabo","Unmatched","","","",""
"Mitochondria","Unmatched","","","",""
"Stearoyl-CoAdesaturase","Unmatched","","","",""
"Anti-metabolite","Unmatched","","","",""
"CDK","Unmatched","","","",""
"Glycolysis","Unmatched","","","",""
"P53Mutspecific","Unmatched","","","",""
"BMP","Unmatched","","","",""
"Baxactivator","Unmatched","","","",""
"RASeffector","Unmatched","","","",""
"AMPKagonist","Unmatched","","","",""
"Antimetabolite","Unmatched","","","",""
"Retinoicacid","Unmatched","","","",""
"HDACinhibitorClassI","Unmatched","","","",""
"IIa","Unmatched","","","",""
"IIb","Unmatched","","","",""
"Broadspectrumkinaseinhibitor","Unmatched","","","",""
"DNAalkylatingagent","Unmatched","","","",""
"TP53activation","Unmatched","","","",""
"FGRF1","Unmatched","","","",""
"TRCB","Unmatched","","","",""
"RNAhelicaseA","Unmatched","","","",""
"Inducesreactiveoxygenspecies","Unmatched","","","",""
"IKK-1","Unmatched","","","",""
"IKK-2","Unmatched","","","",""
"TRAILreceptoragonist","Unmatched","","","",""
"N-myristoyltransferase1/2","Unmatched","","","",""
"IGFR1","Unmatched","","","",""
"mTORC1","Unmatched","","","",""
"mTORC2","Unmatched","","","",""
"Alkylatingagent","Unmatched","","","",""
"NAE","Unmatched","","","",""
"IAP1","Unmatched","","","",""
"IAP2","Unmatched","","","",""
"Pyrimidinesynthesisinhibitor","Unmatched","","","",""
"cIAP","Unmatched","","","",""
"Polybromo1","Unmatched","","","",""
"UAF1","Unmatched","","","",""
"IDH2R140Qmutant","Unmatched","","","",""
"Inflammatoryrelated","Unmatched","","","",""
"KSP11","Unmatched","","","",""
"VSP34BFL1","Unmatched","","","",""
"BRPF1B","Unmatched","","","",""
"MRCKB_HUMAN","Unmatched","","","",""
"RNApolymerase","Unmatched","","","",""
"Telomerase","Unmatched","","","",""
"G-quadruplexstabiliser","Unmatched","","","",""
"PMRT5","Unmatched","","","",""
"PDGFR","Previous symbol","PDGFRB","platelet derived growth factor receptor beta","HGNC:8804","5q32"
"ABL","Previous symbol","ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase","HGNC:76","9q34.12"
"TOP2","Previous symbol","TOP2A","DNA topoisomerase II alpha","HGNC:11989","17q21.2"
"ARFGAP1","Previous symbol","ARFGAP3","ADP ribosylation factor GTPase activating protein 3","HGNC:661","22q13.2"
"FAK2","Previous symbol","PTK2B","protein tyrosine kinase 2 beta","HGNC:9612","8p21.2"
"SGK2","Previous symbol","SGK3","serum/glucocorticoid regulated kinase family member 3","HGNC:10812","8q13.1"
"PKCB","Previous symbol","PRKCB","protein kinase C beta","HGNC:9395","16p12.2-p12.1"
"TAK1","Previous symbol","MAP3K7","mitogen-activated protein kinase kinase kinase 7","HGNC:6859","6q15"
"RON","Previous symbol","MST1R","macrophage stimulating 1 receptor","HGNC:7381","3p21.31"
"TGFB","Previous symbol","TGFB1","transforming growth factor beta 1","HGNC:11766","19q13.2"
"ADCK4","Previous symbol","COQ8B","coenzyme Q8B","HGNC:19041","19q13.2"
"ESR","Previous symbol","ESR1","estrogen receptor 1","HGNC:3467","6q25.1-q25.2"
"FLT2","Previous symbol","FGFR1","fibroblast growth factor receptor 1","HGNC:3688","8p11.23"
"IV","Entry withdrawn","IV","","HGNC:6185",""
"EGFR","Approved symbol","EGFR","epidermal growth factor receptor","HGNC:3236","7p11.2"
"KIT","Approved symbol","KIT","KIT proto-oncogene, receptor tyrosine kinase","HGNC:6342","4q12"
"FLT3","Approved symbol","FLT3","fms related receptor tyrosine kinase 3","HGNC:3765","13q12.2"
"RET","Approved symbol","RET","ret proto-oncogene","HGNC:9967","10q11.21"
"CSF1R","Approved symbol","CSF1R","colony stimulating factor 1 receptor","HGNC:2433","5q32"
"MET","Approved symbol","MET","MET proto-oncogene, receptor tyrosine kinase","HGNC:7029","7q31"
"CAPN1","Approved symbol","CAPN1","calpain 1","HGNC:1476","11q13.1"
"SMO","Approved symbol","SMO","smoothened, frizzled class receptor","HGNC:11119","7q32.1"
"BRAF","Approved symbol","BRAF","B-Raf proto-oncogene, serine/threonine kinase","HGNC:1097","7q34"
"AURKA","Approved symbol","AURKA","aurora kinase A","HGNC:11393","20q13.2"
"AURKB","Approved symbol","AURKB","aurora kinase B","HGNC:11390","17p13.1"
"AURKC","Approved symbol","AURKC","aurora kinase C","HGNC:11391","19q13.43"
"ALK","Approved symbol","ALK","ALK receptor tyrosine kinase","HGNC:427","2p23.2-p23.1"
"ROS1","Approved symbol","ROS1","ROS proto-oncogene 1, receptor tyrosine kinase","HGNC:10261","6q22.1"
"SRC","Approved symbol","SRC","SRC proto-oncogene, non-receptor tyrosine kinase","HGNC:11283","20q11.23"
"KIF11","Approved symbol","KIF11","kinesin family member 11","HGNC:6388","10q23.33"
"CDK1","Approved symbol","CDK1","cyclin dependent kinase 1","HGNC:1722","10q21.2"
"CDK2","Approved symbol","CDK2","cyclin dependent kinase 2","HGNC:1771","12q13.2"
"CDK5","Approved symbol","CDK5","cyclin dependent kinase 5","HGNC:1774","7q36.1"
"CDK7","Approved symbol","CDK7","cyclin dependent kinase 7","HGNC:1778","5q13.2"
"CDK9","Approved symbol","CDK9","cyclin dependent kinase 9","HGNC:1780","9q34.11"
"CDK4","Approved symbol","CDK4","cyclin dependent kinase 4","HGNC:1773","12q14.1"
"LCK","Approved symbol","LCK","LCK proto-oncogene, Src family tyrosine kinase","HGNC:6524","1p35.2"
"FYN","Approved symbol","FYN","FYN proto-oncogene, Src family tyrosine kinase","HGNC:4037","6q21"
"BMX","Approved symbol","BMX","BMX non-receptor tyrosine kinase","HGNC:1079","Xp22.2"
"PLK1","Approved symbol","PLK1","polo like kinase 1","HGNC:9077","16p12.2"
"PLK2","Approved symbol","PLK2","polo like kinase 2","HGNC:19699","5q11.2"
"PLK3","Approved symbol","PLK3","polo like kinase 3","HGNC:2154","1p34.1"
"IGF1R","Approved symbol","IGF1R","insulin like growth factor 1 receptor","HGNC:5465","15q26.3"
"ITK","Approved symbol","ITK","IL2 inducible T cell kinase","HGNC:6171","5q33.3"
"mTOR","Approved symbol","MTOR","mechanistic target of rapamycin kinase","HGNC:3942","1p36.22"
"AKT1","Approved symbol","AKT1","AKT serine/threonine kinase 1","HGNC:391","14q32.33"
"AKT2","Approved symbol","AKT2","AKT serine/threonine kinase 2","HGNC:392","19q13.2"
"AKT3","Approved symbol","AKT3","AKT serine/threonine kinase 3","HGNC:393","1q43-q44"
"HDAC1","Approved symbol","HDAC1","histone deacetylase 1","HGNC:4852","1p35.2-p35.1"
"HDAC3","Approved symbol","HDAC3","histone deacetylase 3","HGNC:4854","5q31.3"
"EIF2A","Approved symbol","EIF2A","eukaryotic translation initiation factor 2A","HGNC:3254","3q25.1"
"ERBB2","Approved symbol","ERBB2","erb-b2 receptor tyrosine kinase 2","HGNC:3430","17q12"
